id,Survived,Sex,Pclass,Fare,Age,SibSp,SibSp>0,Parch>0,Embarked=C,Embarked=None,Embarked=Q,Embarked=S,CabinType=A,CabinType=B,CabinType=C,CabinType=D,CabinType=E,CabinType=F,CabinType=G,CabinType=None,CabinType=T,Sex * Pclass,Sex * Fare,Sex * Age,Sex * SibSp,Sex * SibSp>0,Sex * Parch>0,Sex * Embarked=C,Sex * Embarked=None,Sex * Embarked=Q,Sex * Embarked=S,Sex * CabinType=A,Sex * CabinType=B,Sex * CabinType=C,Sex * CabinType=D,Sex * CabinType=E,Sex * CabinType=F,Sex * CabinType=G,Sex * CabinType=None,Sex * CabinType=T,Pclass * Fare,Pclass * Age,Pclass * SibSp,Pclass * SibSp>0,Pclass * Parch>0,Pclass * Embarked=C,Pclass * Embarked=None,Pclass * Embarked=Q,Pclass * Embarked=S,Pclass * CabinType=A,Pclass * CabinType=B,Pclass * CabinType=C,Pclass * CabinType=D,Pclass * CabinType=E,Pclass * CabinType=F,Pclass * CabinType=G,Pclass * CabinType=None,Pclass * CabinType=T,Fare * Age,Fare * SibSp,Fare * SibSp>0,Fare * Parch>0,Fare * Embarked=C,Fare * Embarked=None,Fare * Embarked=Q,Fare * Embarked=S,Fare * CabinType=A,Fare * CabinType=B,Fare * CabinType=C,Fare * CabinType=D,Fare * CabinType=E,Fare * CabinType=F,Fare * CabinType=G,Fare * CabinType=None,Fare * CabinType=T,Age * SibSp,Age * SibSp>0,Age * Parch>0,Age * Embarked=C,Age * Embarked=None,Age * Embarked=Q,Age * Embarked=S,Age * CabinType=A,Age * CabinType=B,Age * CabinType=C,Age * CabinType=D,Age * CabinType=E,Age * CabinType=F,Age * CabinType=G,Age * CabinType=None,Age * CabinType=T,SibSp * Parch>0,SibSp * Embarked=C,SibSp * Embarked=None,SibSp * Embarked=Q,SibSp * Embarked=S,SibSp * CabinType=A,SibSp * CabinType=B,SibSp * CabinType=C,SibSp * CabinType=D,SibSp * CabinType=E,SibSp * CabinType=F,SibSp * CabinType=G,SibSp * CabinType=None,SibSp * CabinType=T,SibSp>0 * Parch>0,SibSp>0 * Embarked=C,SibSp>0 * Embarked=None,SibSp>0 * Embarked=Q,SibSp>0 * Embarked=S,SibSp>0 * CabinType=A,SibSp>0 * CabinType=B,SibSp>0 * CabinType=C,SibSp>0 * CabinType=D,SibSp>0 * CabinType=E,SibSp>0 * CabinType=F,SibSp>0 * CabinType=G,SibSp>0 * CabinType=None,SibSp>0 * CabinType=T,Parch>0 * Embarked=C,Parch>0 * Embarked=None,Parch>0 * Embarked=Q,Parch>0 * Embarked=S,Parch>0 * CabinType=A,Parch>0 * CabinType=B,Parch>0 * CabinType=C,Parch>0 * CabinType=D,Parch>0 * CabinType=E,Parch>0 * CabinType=F,Parch>0 * CabinType=G,Parch>0 * CabinType=None,Parch>0 * CabinType=T,Embarked=C * CabinType=A,Embarked=C * CabinType=B,Embarked=C * CabinType=C,Embarked=C * CabinType=D,Embarked=C * CabinType=E,Embarked=C * CabinType=F,Embarked=C * CabinType=G,Embarked=C * CabinType=None,Embarked=C * CabinType=T,Embarked=None * CabinType=A,Embarked=None * CabinType=B,Embarked=None * CabinType=C,Embarked=None * CabinType=D,Embarked=None * CabinType=E,Embarked=None * CabinType=F,Embarked=None * CabinType=G,Embarked=None * CabinType=None,Embarked=None * CabinType=T,Embarked=Q * CabinType=A,Embarked=Q * CabinType=B,Embarked=Q * CabinType=C,Embarked=Q * CabinType=D,Embarked=Q * CabinType=E,Embarked=Q * CabinType=F,Embarked=Q * CabinType=G,Embarked=Q * CabinType=None,Embarked=Q * CabinType=T,Embarked=S * CabinType=A,Embarked=S * CabinType=B,Embarked=S * CabinType=C,Embarked=S * CabinType=D,Embarked=S * CabinType=E,Embarked=S * CabinType=F,Embarked=S * CabinType=G,Embarked=S * CabinType=None,Embarked=S * CabinType=T
10,1,1,3,16.7,4.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,16.7,4.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,50.099999999999994,12.0,3,3,3,0,0,0,3,0,0,0,0,0,0,3,0,0,66.8,16.7,16.7,16.7,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,1,1,1,26.55,58.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,26.55,58.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,26.55,58.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1539.9,0.0,0.0,0.0,0.0,0.0,0.0,26.55,0.0,0.0,26.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,0,0,3,8.05,20.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.150000000000002,60.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,0,0,3,31.275,39.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.82499999999999,117.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,3,0,1219.725,31.275,31.275,31.275,0.0,0.0,0.0,31.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.275,0.0,39.0,39.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,0,1,3,7.8542,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,7.8542,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,23.5626,42.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,109.9588,0.0,0.0,0.0,0.0,0.0,0.0,7.8542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,1,1,2,16.0,55.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,16.0,55.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,32.0,110.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,0,0,3,29.125,2.0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.375,6.0,12,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,58.25,116.5,29.125,29.125,0.0,0.0,29.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.125,0.0,8.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,0,0,4,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,1,0,2,13.0,29.69911764705882,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,59.39823529411764,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,386.0885294117647,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.69911764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.69911764705882,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,0,1,3,18.0,31.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,18.0,31.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,54.0,93.0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,558.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,1,1,3,7.225,29.69911764705882,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,7.225,29.69911764705882,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21.674999999999997,89.09735294117647,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,214.57612499999996,0.0,0.0,0.0,7.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.225,0.0,0.0,0.0,0.0,29.69911764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.69911764705882,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,2,26.0,35.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,70.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,910.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,1,0,2,13.0,34.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,68.0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,1,1,3,8.0292,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,8.0292,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24.0876,45.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,120.43799999999999,0.0,0.0,0.0,0.0,0.0,8.0292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0292,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
